,y
0,0.33375
1,0.133357142857
2,0.0343333333333
3,0.772083333333
4,0.0385
5,0.1025
6,0.975666666667
7,0.7925
8,0.788933333333
9,0.682183333333
10,0.120333333333
11,0.744416666667
12,0.132166666667
13,0.999
14,0.954
15,0.178
16,0.91375
17,0.595
18,0.26825
19,0.901916666667
20,0.181166666667
21,0.545166666667
22,0.9645
23,0.025
24,0.956916666667
25,0.762566666667
26,0.04175
27,0.0750833333333
28,0.962666666667
29,0.0395
30,0.096
31,0.590166666667
32,0.966333333333
33,0.05275
34,0.2204
35,0.683
36,0.002
37,0.155183333333
38,0.396966666667
39,0.141383333333
40,0.948
41,0.7325
42,0.0595833333333
43,0.0169
44,0.903166666667
45,0.089
46,0.0906666666667
47,0.002
48,0.0355
49,0.927983333333
50,0.0731666666667
51,0.0824666666667
52,0.205166666667
53,0.955333333333
54,0.99375
55,0.2325
56,0.0400833333333
57,0.9464
58,0.64925
59,0.56875
60,0.0748333333333
61,0.06855
62,0.0646666666667
63,0.294833333333
64,0.9675
65,0.906016666667
66,0.628916666667
67,0.0624833333333
68,0.001
69,0.514333333333
70,0.755116666667
71,0.864416666667
72,0.708333333333
73,0.972
74,0.988
75,0.525333333333
76,0.142
77,0.696
78,0.200333333333
79,0.1115
80,0.0776666666667
81,0.0573
82,0.243833333333
83,0.9985
84,1.0
85,0.036
86,0.847566666667
87,0.017
88,0.015
89,0.0
90,0.0955833333333
91,0.125633333333
92,0.0368333333333
93,0.9895
94,0.94625
95,0.0065
96,0.06835
97,0.0718
98,0.765033333333
99,0.0728333333333
100,0.6905
101,0.472166666667
102,0.134083333333
103,0.0455166666667
104,0.0335
105,0.9565
106,0.31175
107,0.620666666667
108,0.986
109,0.0465
110,0.665433333333
111,0.2562
112,0.8985
113,0.0734166666667
114,0.0295
115,0.1825
116,0.9197
117,0.9972
118,0.03075
119,0.0931666666667
120,0.95875
121,0.0521666666667
122,0.083
123,0.47585
124,0.0633333333333
125,0.122566666667
126,0.8605
127,0.0405833333333
128,0.0275
129,0.986
130,0.8765
131,0.0353333333333
132,0.0405
133,0.026
134,0.946933333333
135,0.9745
136,0.14945
137,0.95775
138,0.0371666666667
139,0.988666666667
140,0.970883333333
141,0.0698333333333
142,0.890166666667
143,0.359583333333
144,0.929333333333
145,0.2285
146,0.9875
147,0.350583333333
148,0.1045
149,0.125833333333
150,0.477833333333
151,0.7035
152,0.40875
153,0.0316666666667
154,0.70575
155,0.48975
156,0.0693333333333
157,0.128333333333
158,0.45475
159,0.933166666667
160,0.801083333333
161,0.0895833333333
162,0.00866666666667
163,0.109333333333
164,0.0145
165,0.937583333333
166,0.0680833333333
167,0.088
168,0.0687666666667
169,0.228766666667
170,0.187
171,0.993
172,0.376066666667
173,0.9925
174,0.360583333333
175,0.0161666666667
176,0.0621666666667
177,0.002
178,0.0328333333333
179,0.97225
180,0.90475
181,0.0258333333333
182,0.13935
183,0.891583333333
184,0.448666666667
185,0.975
186,0.965166666667
187,0.218833333333
188,0.045
189,0.148083333333
190,0.225
191,0.899666666667
192,0.953566666667
193,0.0499333333333
194,0.987833333333
195,0.110666666667
196,0.07215
197,0.92165
198,0.14725
199,0.4979
200,0.009
201,0.768366666667
202,0.158733333333
203,0.949833333333
204,0.982833333333
205,0.498083333333
206,0.0464
207,0.02475
208,0.0758714285714
209,0.541866666667
210,0.0128
211,0.823083333333
212,0.214083333333
213,0.9413
214,0.1891
215,0.4495
216,0.005
217,0.8554
218,0.7655
219,0.573366666667
220,0.245333333333
221,0.917333333333
222,0.90265
223,0.227
224,0.214
225,0.138333333333
226,0.102083333333
227,0.266766666667
228,0.974933333333
229,0.683666666667
230,0.0704166666667
231,0.05525
232,0.962833333333
233,0.013
234,0.2255
235,0.0431666666667
236,0.161416666667
237,0.512166666667
238,0.323
239,0.9885
240,0.0250333333333
241,0.2965
242,0.06355
243,0.2273
244,0.966
245,0.8985
246,0.132966666667
247,0.882833333333
248,0.0389666666667
249,0.307666666667
250,0.755333333333
251,0.650333333333
252,0.8245
253,0.168616666667
254,0.755233333333
255,0.211233333333
256,0.457583333333
257,0.0155
258,0.05875
259,0.727166666667
260,0.0366666666667
261,0.170333333333
262,0.7022
263,0.857083333333
264,0.7165
265,0.807583333333
266,0.001
267,0.999
268,0.997
269,0.0623333333333
270,0.179833333333
271,0.971583333333
272,0.4035
273,0.0654333333333
274,0.0758333333333
275,0.0291666666667
276,0.828733333333
277,0.0740833333333
278,0.996
279,0.138333333333
280,0.869333333333
281,0.137
282,0.0645
283,0.595
284,0.0855
285,0.123733333333
286,0.975666666667
287,0.2789
288,0.07335
289,0.002
290,0.016
291,0.0905333333333
292,0.924883333333
293,0.253333333333
294,0.95525
295,0.077
296,0.936
297,0.96375
298,0.1195
299,0.918666666667
300,0.21225
301,0.0432666666667
302,0.05
303,0.7545
304,0.122666666667
305,0.078
306,0.457066666667
307,0.6655
308,0.009
309,0.999
310,0.604833333333
311,0.042
312,0.0884333333333
313,0.253283333333
314,0.0681666666667
315,0.98
316,0.002
317,0.215416666667
318,0.0314
319,0.106466666667
320,0.110416666667
321,0.0356666666667
322,0.9175
323,0.888333333333
324,0.177466666667
325,0.0775833333333
326,0.97725
327,0.53525
328,0.392666666667
329,0.0629166666667
330,0.452666666667
331,0.78
332,0.035
333,0.710233333333
334,0.7805
335,0.963416666667
336,0.662666666667
337,0.93075
338,0.0505833333333
339,0.0661666666667
340,0.0055
341,0.9515
342,0.96825
343,0.617083333333
344,0.0205
345,0.0396666666667
346,0.145183333333
347,0.712833333333
348,0.0111666666667
349,0.072
350,0.0645
351,0.931666666667
352,0.0455833333333
353,0.0607166666667
354,0.0245166666667
355,0.84875
356,0.02
357,0.226916666667
358,0.981
359,0.715166666667
360,0.364083333333
361,0.956333333333
362,0.252466666667
363,0.412933333333
364,0.509833333333
365,0.206166666667
366,0.03175
367,0.0533333333333
368,0.862633333333
369,0.92525
370,0.0209166666667
371,0.0715
372,0.605333333333
373,0.766333333333
374,0.0869880952381
375,0.896166666667
376,0.377166666667
377,0.896333333333
378,0.53475
379,0.0686666666667
380,0.962166666667
381,0.99725
382,0.6715
383,0.9405
384,0.0336
385,0.992
386,0.657833333333
387,0.014
388,0.11775
389,0.560333333333
390,0.014
391,0.153
392,0.74
393,0.118571428571
394,0.0315
395,0.97
396,0.903
397,0.0911666666667
398,0.836333333333
399,0.548333333333
400,0.87155
401,0.001
402,0.02
403,0.72375
404,0.0275
405,0.950483333333
406,0.0398333333333
407,0.0354952380952
408,0.796571428571
409,0.0441666666667
410,0.203466666667
411,0.0712333333333
412,0.978
413,0.86525
414,0.280633333333
415,0.951833333333
416,0.0661666666667
417,0.261583333333
418,0.0128333333333
419,0.737333333333
420,0.3444
421,0.99525
422,0.953
423,0.81425
424,0.527166666667
425,0.0646833333333
426,0.0441666666667
427,0.146583333333
428,0.458333333333
429,1.0
430,0.993
431,0.93545
432,0.2141
433,0.806583333333
434,0.477833333333
435,0.0556666666667
436,0.10725
437,0.0395333333333
438,0.096
439,0.0106666666667
440,0.0658333333333
441,0.012
442,0.282633333333
443,0.165333333333
444,0.189166666667
445,0.166333333333
446,0.742
